feature_x,feature_y,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Prevotella dentalis,Salmonella enterica,0.8000702687156593,0.8780613003692183,0.6820758648643972,-0.1397199803568125,0.4520579224286867,-0.1504996851946679,0.5747129325065884,0.7643968664382701,0.5355998163267388,0.8007721289926902,-1.15589283323627,0.5673529165928538,-1.7357746810854202,-0.0535410926606536,0.0396503581901015,0.7188370441150274,0.7074799356639624,-0.2911271606999935,0.8751125699423382,0.5041798488593046,,-0.0200353529815946,0.656818720692343,0.5897871281108129,-0.098058264552878,0.7729735262594607,0.6916217303783951,0.3760034478387001,0.1111207437661961,0.7065926981090418,-0.7168175943377932,2.992634279684595,-0.0537460320395221,-3.454587125996002,0.6635149926879104,0.0219883056795743,0.7774811017045845,0.7899375019274144,0.7691240228674069,0.8958122444573161,0.7452746595128468,-0.8711830148810207,0.8481988513909017,0.5867960031528454,0.8128163346443481,0.7619489353064595,1.3344029538105022,0.6729248369197587,0.1863062972849731,0.0999205979999817,-1.4605819812019163,1.9510053199367632,0.7967534594183087,0.8252684907707405,1.367503338216819,-0.2230008620521506,,0.8151792180526568,0.8558012353088532,0.8028477000428831,0.7831372233314545,0.0633747443247351,1.1477090073918992,0.7892548045603033,0.5893165222083199,0.7969058777707065,0.7879979305514891
Clostridioides difficile,[Clostridium] innocuum,-0.8590729656597523,-0.8952118415996487,-0.8035361441463518,-0.0758911912631481,1.2533017051967887,-0.5161266605997098,-7.0187667661710105,-2.7390279628204026,-0.9471667012045852,-0.5640856734478459,-0.4388181528324179,-1.8686847249141505,2.648589280769404,-0.500562336992264,-0.602227234249782,-0.8744782516876819,3.2762871425257174,1.2963942191192903,-0.9084663983759524,-1.0462283341497622,-0.6464759067520597,-0.5028323779226702,-0.5396746478253851,0.8447254280025205,0.9766279551585466,2.121913722232402,,-0.6970159445665309,-0.6065459272966631,-1.038225457116995,0.5281266389020942,-1.9807682537107931,-0.2973018999087707,2.532133477178273,1.4981014409814777,1.7235242210332131,-0.8680852753276881,-0.720011847939405,2.1987292807969734,0.8017081150975367,-2.6487280435453977,-0.894912369990403,1.3807923065017869,-1.5922722181855165,-0.7175927504331925,1.1350140517660643,-0.9032570750855506,-0.9030007145120964,0.9858049016230104,1.349490620620438,-0.8870491056781892,-2.4390836435905507,-0.7703397985107897,-0.0603214844142926,,-0.2411476835836257,-0.8682114659462781,-2.105631180327292,-0.3269101372876932,-1.505935533100745,-1.5084631967955322,-0.9283509996447734,1.2993416419171169,1.7795324698668251,-0.400490963548809,-0.8815283771553892,-0.8682115593519361
Dysosmobacter welbionis,Flavonifractor plautii,-0.5804028756281058,-1.315595298860941,-0.7738001574833304,-0.1949412849533328,1.226325745370914,1.7270228172018065,-1.1230030975642882,-0.8322731680581551,-0.8979166497648521,-0.7497697367300807,,-0.8121335580391105,1.1855745458291294,-0.8993354492968814,-0.5860179721532646,-1.0580354351986836,-0.895568850925364,2.03387206439816,-0.4983117560244843,-0.988392802644936,-0.4467315086979015,-0.4616703398378179,-0.9641104456670824,-0.8120725756855903,1.5003140487859572,1.064216553955169,0.4831417243656409,-0.0972023211393006,-0.8382675205199842,-0.7186501766653325,-0.5851077400100868,-1.0440961205552786,-0.9223280498031664,4.077113993256122,-0.2582842899317014,-0.8476121065290328,-0.8374862643367084,0.266662080145483,1.0295709387503718,0.8895641049826378,-1.8228038864856284,0.0182972069500787,0.2419488988972903,-1.4372995208672854,2.791036419148881,0.0514465962711588,-1.0054756490156531,1.2899076993582348,0.1268141281426237,-1.033655802045581,0.6677375305154666,-1.3698194929019911,3.746725944550688,-0.7987190613426858,-1.7809503987537134,,-0.8963801296527371,-3.2974596289574105,2.108881220731622,-0.8860617132812174,-0.8394049348550312,-0.7413629621177349,-0.2756976139354786,-0.9627536024262476,-0.8341869764987275,-0.8873673233202108,-0.8963802483835965
Dialister sp. 5BBH33,Dialister sp. Marseille-P5638,0.3833811352701227,0.8464921585263379,0.1043374744635281,-1.1660197556182077,0.0802441688320164,-1.347466405587517,-0.5312088076505014,0.8375598040752504,0.9766907559944454,0.8609760303218458,-0.0021522659053363,1.125241077508636,0.8313143857972827,0.6112133255991035,-1.1894457280715438,1.11318199979412,-0.7095710970859468,-3.929558551728672,0.6882718715923106,1.2300870404923367,-0.406339449197044,0.3577365458668018,0.6903356694140123,0.6483725327731512,1.6672889564834523,0.95152058569962,0.8274758330787084,1.294165697805608,2.083351949850883,1.8336181638364253,-1.037599225221108,3.1058190737339206,0.5943037506226736,-0.1947000883330741,0.704312807811177,-0.1824296973477377,1.6051170746238623,-3.462999307874284,0.0772054935233338,0.2773961167251836,1.5369445249447344,0.5870749083704588,-2.2648422684476204,,-0.9740492819344736,0.9089131226852863,1.9116065499721544,1.110396996847042,0.6242311590535248,-1.726662248182811,0.4062801255349385,3.3504050504168337,0.8138829084848825,1.123482149629076,,-0.7256124387335747,0.7946333257245178,3.229355962442356,0.4760688739930369,0.7852295775208754,1.6090507370527545,0.2906312071906866,0.8698439063034679,-0.665141133164797,0.0751442237380811,0.6566008138182027,0.7946333474243986
Raoultella ornithinolytica,Streptococcus sp. HSISS1,-0.5083083562742672,-1.6555336087793813,-1.0445680135358713,-0.549812390069935,-0.6972504915098502,0.5643719933106133,-1.047066672251458,-1.5350238436458707,-2.000677189558102,-0.7214476498022749,-0.3818489551797854,-0.690256379060845,0.0906782936856487,-0.7626895436088542,-0.5463736418428345,-0.7304694973089346,1.3191189821819465,1.3411156956712595,,-0.0034505417612135,-0.7915726200433291,-0.7156866166303046,-0.2666999817698574,-0.8117180500969811,0.365056111906608,-0.4701011841745938,-0.5994466372712116,-0.5316116404028222,-3.321418524476196,-0.7377414205827518,-0.5145882384853854,-0.2025090382051568,0.4459631971680664,-0.6116315803721567,-0.8069292935812525,-0.940223997483259,-0.9808558183244468,-0.6902442454942683,,-0.7618422395269163,-0.8215944859343959,-0.5010851076682004,-0.5559485577730678,-0.9078287937788764,-0.7472513043550045,-0.0078940367863283,-0.1083260300465774,-0.2684878997156651,-0.6772688898555969,-0.5692057160777717,0.8617800049073303,-0.3914314423577318,0.3269671447626304,-0.6811346167955188,-0.6601092941326316,-0.8317887869040153,-0.7631796714950666,-0.7149763917725511,-0.2503745851477403,-0.7183315914236011,-0.7398058205689458,0.821913197067855,-0.7332521119192782,-0.692853468462008,-0.7655506995073533,-0.6206915651704298,-0.7631797372378468
Collinsella aerofaciens,Streptococcus thermophilus,-1.108199366850865,-0.8250591815594602,1.9141116165790444,-0.6514966045273656,1.349674177032815,0.307973421711275,-0.4421718024631935,-0.9176226948101128,-0.7560082833892952,-0.7541930701644377,-1.172430782225507,0.6732378436903446,-0.7354178444037359,-0.7300033945386691,0.0255824658213253,-0.4161029733208787,-0.676600257186726,-0.5041977063523186,-0.8527271856325029,-0.930541619856926,1.7565002980012885,-0.2342120662308381,-0.6174887139654766,-1.686207162521086,,-0.3017355120080615,-0.8546667863793792,-0.2155899148947869,-1.5173338943421366,-0.7902960341023777,-0.6437248803432686,-0.289814744937131,0.2121090167628517,-0.5270819324401514,-0.6265560660572808,-0.7178249487379423,0.4030759173535767,-0.3539579644890945,-0.2489921551792215,0.0557059861622897,-0.3006721342716223,0.180014144369633,-0.891867977557941,-0.3831076108930911,-0.0153504728279191,-0.4549622808854338,-0.6026385528518883,0.96136445286467,-0.3893899201320474,-0.6764661436690154,0.9898254786701352,-1.1429267010345303,-0.5939720822569553,1.2938717572375658,-1.0208449779616355,-1.006656361386384,-0.6742765226911634,-1.9703883747273188,-0.6086759186074596,-0.6788629736786131,0.1656520170406877,0.3183817532212299,,0.8899260996440563,0.0913476916359674,,-0.6742766163041732
Bacteroides caecimuris,Prevotella intermedia,0.79953153358745,0.7965114959379457,0.7536345590844881,-2.0409226754550267,-0.5775726562988415,-4.223601925332506,0.5678462169976513,-0.3298798810815552,0.7122724285410704,0.3206088725502128,0.861336683914973,0.4861853666293005,0.1214733129200685,0.1314114694434405,0.8009297470171394,0.4317605228228725,0.5975927996893087,-0.780333729014633,1.0263632647020209,0.444815798484223,-0.0799731078153711,-0.376064911994835,0.8924105309546859,,1.2382681835348257,0.8339722932716405,-1.1936300723820843,0.5872663853830243,0.7953222854770567,1.148024000313551,0.2199704593508011,1.0242154042338891,0.7832704463233505,0.8182810885383054,0.7649945463557769,-0.2916998323314688,0.9305038645914409,-2.378277555654132,0.3807058739975924,0.1058188986756814,3.2013264964217503,0.7387502697616997,-3.082881311122352,0.9168192009849134,1.0754495466339455,0.8018232609965409,0.123726466001108,0.7237737815522562,-0.5592415302516649,1.2197257019276389,0.7098466952738488,1.7798706600408614,0.8903092009186112,-0.744246491798449,0.7705700775664558,0.6604776130474401,,2.272776828410092,-0.9118751791593018,0.7963339126359394,0.4487362977697839,-0.0123042576264535,1.3850031507948477,-1.636908503692482,0.7745650944374688,0.8125203020953854,
Streptococcus sp. HSISM1,Veillonella dispar,-0.6602836141234174,-0.5825956277746286,-0.7394016541593786,-0.6569200024262629,1.3813247415143637,-0.7172092662709413,-1.294309037240966,0.9098602025977772,,-0.329730513149582,-0.29328342364359,-0.6615580492899269,-0.6282179244327337,-0.8195100974202069,-0.7684000530123003,-0.6971503273562315,-0.1663992133998622,,,-1.3539166230033672,-0.5860212886141448,-0.7396431304625978,0.0983384249126227,-0.3217164776541884,-0.5786210477701978,-0.0068812216579241,-0.4339172557555583,-0.2168775927863404,-0.0239720284839446,-0.4855001890965742,-0.741515445765463,-0.6180807456146946,-0.6062248653121814,-0.8178921920756218,-0.5777301741094357,-0.6263216352904414,-0.1866014293949885,0.1094813568888829,-0.6513133251814244,-0.7537684414885617,-0.2269608967903121,0.0615866554413992,-0.7332211104261305,-0.7577692933205686,-0.4150510440499498,-0.4472403435526683,-0.6035639162385426,-0.8932517944238094,-0.6468568906970934,-0.0499536712243283,-0.0726755372000514,-1.0864538531439925,0.4372029303957778,-0.6808396293372819,-0.5236985181577287,0.0701689898264602,-0.6468322132478758,-0.4355429108820953,-0.6971696795255389,-0.5785292000482662,-0.7686270993921444,-0.526840299863323,0.5373592772122864,-0.6296037578064924,-0.6623379427065003,-0.5701965733091363,-0.6468322176836588
Oscillibacter sp. PEA192,Clostridioides difficile,-0.9126237817167044,-1.1631996055098288,-0.6476020111162554,-0.5229888711128979,1.7658930782111046,-0.9204015892998512,,-0.1192592353189163,-0.5027643286916033,-0.5543354107445035,0.1682004087258944,-0.2841736769856834,-0.5765682991265273,-0.6917294747235517,-0.6123094157456226,-0.5125691869159438,-0.5310504949007531,-0.4021608395578783,-0.51138674464861,-0.2878742398912724,0.0857490175386602,-0.8669989191623237,-0.8176541671774253,-1.0575351214868367,-2.055459635857433,-0.8101725496477543,-0.1761301172141703,-0.3160361710096487,-0.6862944527135467,-0.5613933287764005,2.2438642191733464,-0.2291047051865214,-0.3525497167667976,0.2909028409945765,0.0384569178622549,-0.2682762084008285,0.1681946592635896,-0.596447640750759,-0.4377305371431892,-0.9703416906079498,-0.6788594778181795,-0.8850454731052929,-1.0696475760696504,0.1825473578371964,-0.690071703364345,-0.6359196521974204,-0.6991383271107066,-0.8589138707403545,-0.7953624932658435,-1.023652520677817,-0.0255195604148719,,-1.6337360482477892,-0.0909132986663291,-2.1484692248985864,0.2693675960261652,-0.6568861298232813,-1.509154717529544,-0.6136202703220063,-0.6115450973355101,-0.6554975504363545,-0.7428040529424054,-0.7909980469952057,-1.206602386878477,,-0.6745839522542815,-0.6568861807451036
Enterobacter hormaechei,Citrobacter freundii,1.2632768080392904,0.6009622055235694,0.6509778845534836,-1.155129614732818,-0.4467522870405306,-0.0353856834850562,0.6434318872347207,0.9241795235559748,0.6223656740305958,0.4476342214629002,0.6172066196017434,0.637739209874988,-0.923633136057492,0.7445319709291499,0.4795692944039734,0.7308832075472099,0.2221995571548085,-0.2274453711211558,-0.0004296802985167,-0.6328583956634379,-0.312487758173792,0.6385751909821326,0.2559115499359991,-0.369582572941333,-1.5240700339148727,,0.2188234136259294,0.1039920820810106,1.445044783636745,0.6050632937141279,0.4980060591521287,1.3906346156873697,0.7603100089240389,0.4198932934974443,0.4913089497580856,0.1019842043524239,1.308047904323011,,0.7438783480005188,-1.0501724496336688,1.00079127691663,-0.311057552014944,0.4356837621320895,1.3890428103105772,-1.1160725146849368,-0.5408540011762152,0.6876594871345142,0.3492647709346062,0.5835486936232597,0.7259831169210688,0.5900608264905837,1.1464774800415796,0.7764830333794868,,0.7482588292705034,1.4671789866823934,0.6948085501346023,0.804843161698087,-1.0673925068333685,0.5023313806854263,1.000555386013963,-0.990355370712323,-1.0266075569962907,-0.4809795340075792,0.7182126844390635,0.5370876563565095,0.6948085413126703
